edit_history_tweet_ids,author_id,text,public_metrics,id
['1610727766122729474'],984612488795701249,"RT @Aptoki_NFT: Where is the next 100x Crypto Gem? ---- $Api

$Api is the #Aptoki token.
----------
🎁10WL | Follow, RT &amp; Like,Tag friends 👷…","{'retweet_count': 2286, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727766122729474
['1610727765556461571'],1460629870073974788,"RT @_King_Loki_: $BONK Airdrop Token

To Enter:
1. Follow @_King_Loki_
2. Like &amp; Retweet
3. Tag 3 Friends
Comment your solana wallet addres…","{'retweet_count': 285, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727765556461571
['1610727764369211408'],1434948912054472718,@Bitboy_Crypto Only unsuspecting losers would buy this shit. No wonder the world is this fuc*d. Too many ignorant people around...they'll learn the hard way.,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 6, 'quote_count': 0, 'impression_count': 51}",1610727764369211408
['1610727763471917057'],1101831295125065728,"If you'rе а crypto trader, you must see this. @feihuataiduo @Tony66815265 @The_Real_PB @TheKurdWolf @PBGroup4 @charanek_ramy @kriptobrkunl @Loprak4 @dynamit28 @man62861137 @haydenscott1555 @cryptoangel668 @YKhelstovsky @amaro_hassan @NFT_Nappa https://t.co/sMes9S3g2z","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 3}",1610727763471917057
['1610727763056676864'],1545003312365596672,@topbscnews @RichQuack @iSafePal @Everdome_io @highstreetworld @RACA_3 @biconomy @CEEK @AlphaFinanceLab @MOBOX_Official @SeedifyFund $QUACK #Crypto #NFT #NFTs,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 2}",1610727763056676864
['1610727762796449792'],4768830455,RT @MichaelKindling: Transfer of coins i minted and there seems to be 25 million coins that didn’t end up at https://t.co/OS7RHr14Kh instea…,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727762796449792
['1610727762578251776'],1501922448324927500,"#Binance Last Price $258 #BNB
Weekly Indicators:
-RSI: 44.3
-Moving Average(20): 279
-MA(50): 312
-MA(100): 368
-Bollinger B. lower/upper: 234/324

#Polygon Price $0.8 #MATIC
-RSI: 46.5
-MA(20): 0.85
-MA(50): 0.98
-MA(100): 1.13
-BB: 0.67/1.02

#Crypto #Trading
(3/10)
388392","{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 20}",1610727762578251776
['1610727762368823296'],1591309511276609537,"RT @coinesper: Crypto projects to watch bull or bear

1) @kadena_io - $KDA
2) @CoinMetro - $XCM
3) @RunOnFlux - $FLUX
4) @iota - $IOTA
5) @…","{'retweet_count': 72, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727762368823296
['1610727761919737875'],1074032486236282882,"RT @remitano: #Remitano | #LearnAndEarn

Learn &amp; Earn #Crypto with ""Understanding your inner self"" course!🤩

For the first time at Remitano…","{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727761919737875
['1610727761576079360'],1477860263386771463,"RT @QuaiNetwork: We're giving away 5000 $QUAI.

Follow @QuaiNetwork on Twitter
Like + RT this post
Tag 3 friends
Join the #Quai Discord: ht…","{'retweet_count': 14268, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727761576079360
['1610727760124837889'],1827768756,"RT @AlveyChain: 🔥It is with great pleasure that we announce a big partnership with @Imovofficial 
❤️Our goal is to grow our allies and deve…","{'retweet_count': 3157, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727760124837889
['1610727759805808651'],1459425662264131654,"RT @TRVLADCTTV: @Crypto_sarah11 Download #SaitaPro!
Hands down the best #DeFi app in the game!
Invest on SaitaPro &amp; sleep good knowing your…","{'retweet_count': 14, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727759805808651
['1610727759625740288'],1318100650304053249,"@UltraSolomon @PeterSchiff I never thought I'd be interested in crypto, but this leaked arbitrage technique for making ETH has me hooked after seeing someone make over 200 ETH   https://t.co/nuJMGWltbk","{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727759625740288
['1610727759441166336'],1479322096220008448,"@oogicoin I am happy to participate in this airdrop event, I wish you success in the future and become the best.

@fsashrafulYT
@Rsripon95903793
@azim_ayon

#Solana #SolanaAirdrop #Airdrop #Crypto #Giveawa 

Sol address : ucTMdxvCL3MN3nea5sFu7uTsevBd7rveYodJCm8s3PD","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",1610727759441166336
['1610727758904033290'],1253030249392201730,"If you'rе а crypto trader, you must see this. @AwaisSukhera15 @zestrhopile @greengrass67 @dada84714788 @makarachanheng @Jbehr12 @brsbyk89 @j0hnXBT @sfmpassenger621 @MiguelRodgs @margincall777 @CryptoNuit @samuelfossum @46Chandu @ChaosOrgd https://t.co/tUWpXsXFH9","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",1610727758904033290
['1610727758803668992'],369467891,"@MauBig_Win The Kabosu Inu Airdrop is LiVE! 
Kindly send a Direct message if you are having any issues or have not received your 45% airdrop on the token you hold. we would make sure to work on it immediately. https://t.co/TqHwcimN3O","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",1610727758803668992
['1610727757876547585'],1408832847830528012,"Uphold email supporting the flare airdrop!!!

I hope @BittrexGlobal @coinbase @BittrexExchange cryptodotcom  follow through !! https://t.co/61xozXmr4P","{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 246}",1610727757876547585
['1610727757381570560'],1610720191377178624,"RT @atlaskion: @BitValleyInc is a #Web3 company flying under the radar for a while, one of the rarest finds in the #Crypto market, they are…","{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727757381570560
['1610727756819562498'],1518853646594805760,@bitindichain @bitindiofficial $BNI #Crypto #Bitindichain,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'impression_count': 3}",1610727756819562498
['1610727756114939904'],1258658558675042305,Pump Mаnipulаtor is the best place for crypto traders @AnaLya15653966 @hrabry82 @ALLs_Polar @thecollectoour @HairulOsaman @RandomGale @ScreamingTrader @AouladRed @soccernut07 @pl4nck_ @AquaCapital_G @WillyMAC87 @sebasti17432917 @TheGCode5 @stefan_1082 https://t.co/i8RiNHjeS5,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 17}",1610727756114939904
['1610727755951243266'],1130728813573357569,@CryptoCapo_ The  Bear market created a paradigm shift to negativity while crypto influencencers blow postive hopuim with every Tweet.This in turn created hostility.,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 1, 'quote_count': 0, 'impression_count': 116}",1610727755951243266
['1610727755657924608'],3297755135,"RT @Bonk_airdrop: Since I was early to the $BONK drop, will #Airdrop $BONK to each and everyone of you who drop their phantom wallet in the…","{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727755657924608
['1610727753439129603'],2623511262,"RT @sandofsky: We should probably worry that the same unethical clowns who built up crypto for a quick buck, gleefully ignoring its externa…","{'retweet_count': 62, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727753439129603
['1610727753074237441'],3397401136,"RT @pricecryptos: 🎁GIVEAWAY | 50$ | 24 Hours

1- Follow us

2- Retweet and like this tweet

3- Reply your first crypto with hashtag under t…","{'retweet_count': 120, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727753074237441
['1610727752415719424'],246881300,CLAIM fast!!!! @Release_pixels @ShaqirHussyin @Supermelaq @CryptoAddicts21 @BrentKeller12 @boolishh @whimwhams @keith31224357 @Hr5Kw @Crypto_Catman @lkhammandal @VERSUSMETA @luisluis40881 @wen12s https://t.co/b2GK3yv59B,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 84}",1610727752415719424
['1610727751819853841'],1501311678838972416,"@Crypto__Diva @dojimanetwork got outstanding potentials.
@dojimanetwork will enable multiple blockchains to interact with each other, either for transferring assets or relaying data. 
#blockchain 
#DojimaNetwork","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727751819853841
['1610727751756939279'],246655218,"RT @LeonidasNFT: I'm on a mission to follow every @Crypto_Skulls holder. Show me your skulls below so that I can follow you! 

I'll start b…","{'retweet_count': 30, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727751756939279
['1610727751719206913'],1610716645542051849,@via__crypto @omchainio @skngul @ahsenberak @layda061127,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727751719206913
['1610727751513669632'],1587401637282435075,"RT @Kitty_Solana: 🎉GIVING AWAY🎉
50% of all $KITTY supply to all who still support!
Rules:
1️⃣Follow @Kitty_Solana
2️⃣RT &amp; LIKE
3️⃣Tag 3 Fri…","{'retweet_count': 16160, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727751513669632
['1610727751039713295'],1526342822999236609,"RT @bonk_max_inu: You missed $BONK ?

To get guaranteed airdrop for 100mn $BONKMX

1. Like ♥️
2. RT ♻️
3. Tag your 2 friends 🫂

#SolanaAird…","{'retweet_count': 1426, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727751039713295
['1610727750926757888'],1255427115513712640,"RT @sweeglecoin: We really appreciate for early adopters who support us, for that we will share 100.000.000.000 $SWG for early adopters .…","{'retweet_count': 9807, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727750926757888
['1610727750888726529'],1243154133751926785,@cherohbii @abnormal_crypto I'm always looking for ways to diversify my income and this video about someone making 100+ ETH passively on Uniswap is super inspiring 💪  https://t.co/OjpU4w2H9u,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727750888726529
['1610727750763188224'],1502608015169667073,"RT @oogicoin: WELL THEN, SINCE YOU ASKED, WE GUESS IT’S AIRDROP SZN 2023 !!! … LET THIS SWARM WITH YOUR SOLANA WALLET ADDRESSES AND TAG THR…","{'retweet_count': 9938, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727750763188224
['1610727750712848384'],1534123601586180097,"Become a Coinstore Teamster to claim massive exclusive #CNT airdrops

Join &amp; Trade, Come to unlock your exclusive Airdrop!

💡Check more details: https://t.co/syluPeyhsX…

Join Now: https://t.co/nHM2OZWkkb…

Key word: #Coinstore #CoinstorePrime #ChooseCoinstore #Teamster #CNT https://t.co/4fR3a0Cvi4","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 16}",1610727750712848384
['1610727749366185995'],1287342973857009664,"🔥Bullish on @Crypto_Skulls in the next race! 

🔥It's early but already on the way! 

💯The bottom was found a few months ago! 

☠️Wait to see more !☠️

#NFT #fypシ #NFTCommunity #Fyptt #nftart #nfts #art #fypage #fyp #world #cryptocurrency #opensea #museum #work #cryptoskull https://t.co/Gr9crCN0Sa","{'retweet_count': 10, 'reply_count': 2, 'like_count': 34, 'quote_count': 0, 'impression_count': 547}",1610727749366185995
['1610727749328723968'],1097938928991125509,"RT @TaporyClub: $BONK next holders between 100K to 500K untill coming of January's 2 week of 2023.

1 Sol = 1,000,000 BONK 
Bonk Holder = 1…","{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727749328723968
['1610727749211021312'],876834386955698176,"If you'rе а crypto trader, you must see this. @VukRadjen @matickuharcuha @lukasz_artur @SashaStarets @awais2023 @Thevegasrapist @RaRaileanu @lichtinate @ShadowFarouk @_Life_Elevated @Michal07799920 @Mustafa22041687 @tomseymour7 @CryptoBugga @Alexis_Mwenda https://t.co/tLpHHk1Mox","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727749211021312
['1610727748821213185'],1149486165973598210,"RT @JohnReedStark: ""Crypto is not real. Like the platinum coins in EverQuest, it has no intrinsic value and is untethered to anything but t…","{'retweet_count': 142, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727748821213185
['1610727748762206221'],1386734359344992258,"RT @crypto_dziki: Hej Ty! Tak Ty! 

Jesteś prawdziwym Crypto Dzikiem? Udowodnij to. 

Na stronie https://t.co/SjweLEYROq czekają na Ciebie…","{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727748762206221
['1610727747617435648'],1610523014529187840,RT @WatcherGuru: JUST IN: 🇮🇩 Indonesia announces plans to launch a national #crypto exchange.,"{'retweet_count': 1646, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727747617435648
['1610727747600670721'],1290510034858729474,Pump Mаnipulаtor is the best place for crypto traders @Spzmk @Furi_noob_234 @H0llowBr4in @hseyinm28505785 @TigerWoods2315 @dennischris_ @GuruOfWarrior @MMoonboi589 @bennyben1 @DukeAndrs @PedroCoppini @iamahmad4410 @noodlemanKD @youngasianpewpi @max_eth1 https://t.co/9BQG6b5qyp,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 12}",1610727747600670721
['1610727746455601157'],1456698803990396992,"RT @BonkMonkeys: #Bonk airdrop for everyone. Drop your $SOL addy $BONK to everyone who
Follow, Like, RT, Comment wallet below. 👇 https://t.…","{'retweet_count': 299, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727746455601157
['1610727746350497794'],265631921,"@dallas214solja @Bitboy_Crypto @OilCrypto @GaryGensler @SECGov Whoa, whoa, whoa! This is mind-blowing.","{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727746350497794
['1610727745520275457'],998328574783389698,I mаdе x3 from my investment by following their instruction in Telegrаm!  @fmrgmm @KevinDS27085510 @bryism24 @Jabrix_lanang @HalilAtasever9 @yalcinkaya_ @crypto_fais @Espressopete1 @dropbong99 @tott_ii @berube_berube7 @J4m3s0n1 @Jajorp92 @NinoBrownQNT @kuei76 https://t.co/ghgdr8zssW,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 6}",1610727745520275457
['1610727745406787584'],1404832314346115072,@XEN__crypto_34 @XEN_Crypto @mrJackLevin Hen flight https://t.co/FlKHGlXvNK,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 24}",1610727745406787584
['1610727745285128192'],895707587835985920,"RT @goatkripto: 1 takipçimden iban isteyelim. Bu gönderiyi RT'lemeniz ve beni takip ediyor olmanız yeterli. 🐐

#bitcoin    #crypto #çekiliş…","{'retweet_count': 170, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727745285128192
['1610727745272643584'],1545003312365596672,@CryptoInsightsX @RichQuack @BabyDogeCoin @Lovely_finance @VoltInuOfficial @BscPitbull @_hamster_coin @rottoken @Tamadogecoin @VitaInuCoin @InuKishu @shiba_forest @Marvin_Inu @MicroPetsBSC @AKITA_network @Puli_Token @FlokiMooni @MiloInu @KibaInuWorld $QUACK #Crypto #NFT #NFTs,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 4}",1610727745272643584
['1610727745138327552'],310723474,@dallas214solja @Bitboy_Crypto @OilCrypto @GaryGensler @SECGov I'm not new to this. I invested 10 eth into this and it's already up 17 BNB in two weeks.,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727745138327552
['1610727745108967435'],1553859420920184832,"RT @SorareConcours: 🎁 FAST CONCOURS 🎁

JOUEUR À GAGNER : IEBE SWERS

Conditions pour participer : 

- Follow @SorareConcours et @toutPolyva…","{'retweet_count': 338, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727745108967435
['1610727744845017089'],865224346481995777,"RT @XPunkDS: 🚨 NEW YEAR, NEW AIRDROP OF #XSPECTAR TOKEN INCOMING! 🚨

TO ENTER:

👉 Follow @CombatKanga &amp; @xspectar 

👉 RETWEET &amp; tag friends…","{'retweet_count': 147, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727744845017089
